n_abu_pool,E_abu_mission_kwh_per_abu,E_abu_total_kwh_per_abu,E_abu_used_kwh_total,E_saved_kwh,E_mission_kwh_main,E_pack_kwh_main,E_pack_kwh_abu,dod_main,dod_abu,soc_start_main,soc_start_abu,soc_target,t_flight_hr,t_attached_hr,t_return_cruise_abu_hr,t_charge_hr_main,t_charge_hr_abu,t_cycle_nominal_hr,n_flights_nominal_no_abu_limit,n_flights_completed,t_flight_day_hr,t_slack_hr,t_wait_abu_day_hr,abu_utilization_avg,abu_bottleneck_flag,P_cc_kw_main,P_cc_kw_abu,charger_limit_indicator_flag_main,charger_limit_indicator_flag_abu
1.000000,5.000000,17.000000,5.000000,4.838632,43.337629,63.933536,17.000000,0.677854,1.000000,0.322146,0.000000,1.000000,0.247500,0.018725,0.363197,0.705434,0.276800,1.236234,19.000000,20.000000,4.950000,0.000000,0.000000,0.603102,0.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,10.000000,22.000000,10.000000,9.589214,38.587047,63.933536,22.000000,0.603549,1.000000,0.396451,0.000000,1.000000,0.247500,0.037110,0.322076,0.661950,0.348178,1.192750,20.000000,20.000000,4.950000,0.144996,0.000000,0.643637,0.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,15.000000,27.000000,15.000000,14.253635,33.922625,63.933536,27.000000,0.530592,1.000000,0.469408,0.000000,1.000000,0.247500,0.055161,0.281702,0.619255,0.417592,1.150055,20.000000,21.000000,5.197500,0.000000,0.000000,0.717023,0.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,20.000000,32.000000,20.000000,18.832862,29.343398,63.933536,32.000000,0.458967,1.000000,0.541033,0.000000,1.000000,0.247500,0.072883,0.242065,0.577340,0.485428,1.108140,21.000000,22.000000,5.445000,0.000000,0.000000,0.793261,0.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,25.000000,37.000000,25.000000,23.328088,24.848173,63.933536,37.000000,0.388656,1.000000,0.611344,0.000000,1.000000,0.247500,0.090279,0.203155,0.536194,0.551949,1.066994,22.000000,23.000000,5.692500,0.000000,0.000000,0.872450,0.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,30.000000,42.000000,30.000000,27.740503,20.435757,63.933536,42.000000,0.319641,1.000000,0.680359,0.000000,1.000000,0.247500,0.107355,0.164962,0.495806,0.617344,1.026606,23.000000,24.000000,5.940000,0.000000,0.000000,0.954661,0.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,35.000000,47.000000,33.134584,30.361973,17.814288,63.933536,47.000000,0.278638,0.960310,0.721362,0.039690,1.000000,0.247500,0.117500,0.142271,0.471811,0.664683,1.002611,23.000000,24.000000,5.940000,0.000000,0.000000,0.989454,0.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,40.000000,52.000000,33.436778,30.361973,17.814288,63.933536,52.000000,0.278638,0.873784,0.721362,0.126216,1.000000,0.247500,0.117500,0.142271,0.471811,0.685227,1.002611,23.000000,24.000000,5.940000,0.000000,0.169906,1.009998,0.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,45.000000,57.000000,33.741573,30.361973,17.814288,63.933536,57.000000,0.278638,0.802484,0.721362,0.197516,1.000000,0.247500,0.117500,0.142271,0.471811,0.705016,1.002611,23.000000,24.000000,5.940000,0.000000,0.625060,1.029787,0.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,50.000000,62.000000,34.048970,30.361973,17.814288,63.933536,62.000000,0.278638,0.742725,0.721362,0.257275,1.000000,0.247500,0.117500,0.142271,0.471811,0.724125,1.002611,23.000000,23.000000,5.692500,0.000000,1.018279,1.005192,0.000000,109.250000,109.250000,charger_limited,charger_limited
2.000000,5.000000,17.000000,5.000000,4.838632,43.337629,63.933536,17.000000,0.677854,1.000000,0.322146,0.000000,1.000000,0.247500,0.018725,0.363197,0.705434,0.276800,1.236234,19.000000,20.000000,4.950000,0.000000,0.000000,0.301551,0.000000,109.250000,109.250000,charger_limited,charger_limited
2.000000,10.000000,22.000000,10.000000,9.589214,38.587047,63.933536,22.000000,0.603549,1.000000,0.396451,0.000000,1.000000,0.247500,0.037110,0.322076,0.661950,0.348178,1.192750,20.000000,20.000000,4.950000,0.144996,0.000000,0.321818,0.000000,109.250000,109.250000,charger_limited,charger_limited
2.000000,15.000000,27.000000,15.000000,14.253635,33.922625,63.933536,27.000000,0.530592,1.000000,0.469408,0.000000,1.000000,0.247500,0.055161,0.281702,0.619255,0.417592,1.150055,20.000000,21.000000,5.197500,0.000000,0.000000,0.358512,0.000000,109.250000,109.250000,charger_limited,charger_limited
2.000000,20.000000,32.000000,20.000000,18.832862,29.343398,63.933536,32.000000,0.458967,1.000000,0.541033,0.000000,1.000000,0.247500,0.072883,0.242065,0.577340,0.485428,1.108140,21.000000,22.000000,5.445000,0.000000,0.000000,0.396630,0.000000,109.250000,109.250000,charger_limited,charger_limited
2.000000,25.000000,37.000000,25.000000,23.328088,24.848173,63.933536,37.000000,0.388656,1.000000,0.611344,0.000000,1.000000,0.247500,0.090279,0.203155,0.536194,0.551949,1.066994,22.000000,23.000000,5.692500,0.000000,0.000000,0.436225,0.000000,109.250000,109.250000,charger_limited,charger_limited
2.000000,30.000000,42.000000,30.000000,27.740503,20.435757,63.933536,42.000000,0.319641,1.000000,0.680359,0.000000,1.000000,0.247500,0.107355,0.164962,0.495806,0.617344,1.026606,23.000000,24.000000,5.940000,0.000000,0.000000,0.477330,0.000000,109.250000,109.250000,charger_limited,charger_limited
2.000000,35.000000,47.000000,33.134584,30.361973,17.814288,63.933536,47.000000,0.278638,0.960310,0.721362,0.039690,1.000000,0.247500,0.117500,0.142271,0.471811,0.664683,1.002611,23.000000,24.000000,5.940000,0.000000,0.000000,0.494727,0.000000,109.250000,109.250000,charger_limited,charger_limited
2.000000,40.000000,52.000000,33.436778,30.361973,17.814288,63.933536,52.000000,0.278638,0.873784,0.721362,0.126216,1.000000,0.247500,0.117500,0.142271,0.471811,0.685227,1.002611,23.000000,24.000000,5.940000,0.000000,0.000000,0.504999,0.000000,109.250000,109.250000,charger_limited,charger_limited
2.000000,45.000000,57.000000,33.741573,30.361973,17.814288,63.933536,57.000000,0.278638,0.802484,0.721362,0.197516,1.000000,0.247500,0.117500,0.142271,0.471811,0.705016,1.002611,23.000000,24.000000,5.940000,0.000000,0.000000,0.514894,0.000000,109.250000,109.250000,charger_limited,charger_limited
2.000000,50.000000,62.000000,34.048970,30.361973,17.814288,63.933536,62.000000,0.278638,0.742725,0.721362,0.257275,1.000000,0.247500,0.117500,0.142271,0.471811,0.724125,1.002611,23.000000,24.000000,5.940000,0.000000,0.000000,0.524448,0.000000,109.250000,109.250000,charger_limited,charger_limited
